month,opportunity_value
2024-08-01,8620.71
2024-09-01,2991.71
2024-10-01,28577.4
2024-11-01,75941.11
2024-12-01,51336.3
2025-01-01,124127.87
2025-02-01,9797.65
2025-03-01,80742.03
2025-06-01,28258.63
2025-08-01,186985.4
2025-11-01,2369.63
2025-12-01,39435.15
2026-01-01,36774.12
2026-02-01,6893.48
2026-03-01,17396.39
2026-05-01,75853.86
2026-06-01,47315.75
2026-07-01,58339.56
2026-08-01,32147.44
2026-09-01,34015.229999999996
2026-10-01,7209.59
2026-11-01,11821.93
2026-12-01,49735.87
2027-01-01,6600.76
2027-02-01,106520.29
2027-03-01,196778.03999999998
2027-04-01,57810.14
2027-05-01,297430.52999999997
2027-06-01,150069.50999999998
2027-07-01,2667.44
2027-08-01,33321.47
2027-09-01,40862.05
2027-10-01,30493.38
2027-11-01,137113.41
2027-12-01,134698.1
2028-01-01,7757.42
2028-02-01,10843.699999999999
2028-03-01,8923.49
2028-05-01,141314.69
2028-07-01,83540.23
2028-08-01,7296.91
2028-09-01,6912.95
2028-10-01,107651.51000000001
2028-11-01,8931.31
2028-12-01,36514.53
2029-02-01,133016.5
2029-04-01,44228.630000000005
2029-05-01,41653.66
2029-06-01,60968.69
2029-07-01,141464.92
2029-08-01,3303.72
2029-09-01,185658.0
2029-10-01,20016.15
2029-11-01,166137.02
2029-12-01,33178.88
2030-01-01,30629.28
2030-02-01,7634.71
2030-03-01,58756.66
2030-04-01,184657.15999999997
2030-05-01,11740.62
2030-06-01,9649.43
2030-07-01,3718.42
2030-08-01,36479.62
2030-10-01,18273.519999999997
2030-11-01,31048.1
2030-12-01,137563.18
2031-01-01,31309.05
2031-02-01,8393.1
2031-03-01,54433.79
2031-04-01,109216.45
2031-05-01,144971.13999999998
2031-06-01,13903.07
2031-07-01,17303.78
2031-09-01,32779.04
2031-11-01,138809.16
2031-12-01,144757.4
2032-01-01,145244.18
2032-02-01,47596.240000000005
2032-03-01,7068.36
2032-05-01,6686.94
2032-06-01,7013.49
2032-07-01,294027.18
2032-08-01,9592.18
2032-09-01,81571.89
2032-10-01,169006.79
2032-11-01,29161.9
2033-01-01,27330.2
2033-02-01,306454.83999999997
2033-03-01,7517.23
2033-04-01,102426.03
2033-05-01,224045.66999999998
